121.8815	121.8815	K
121.9976	121.9976	K
122.1486	122.1486	|
122.5665	122.5665	K
122.6072	122.6072	|
123.0716	123.0716	|
123.5360	123.5360	|
123.7333	123.7333	K
123.9946	123.9946	|
124.4532	124.4532	|
124.9176	124.9176	|
125.3820	125.3820	|
125.8405	125.8405	|
126.2933	126.2933	K
126.2991	126.2991	|
126.7635	126.7635	|
127.2337	127.2337	|
127.4137	127.4137	K
127.6865	127.6865	|
128.1219	128.1219	K
128.1509	128.1509	|
128.6037	128.6037	|
129.0797	129.0797	|
129.2713	129.2713	K
129.3758	129.3758	K
129.5325	129.5325	|
129.9679	129.9679	K
129.9969	129.9969	|
130.4555	130.4555	|
130.8096	130.8096	|
131.0824	131.0824	K
131.3785	131.3785	|
131.7965	131.7965	K
131.8429	131.8429	|
132.3015	132.3015	|
132.7659	132.7659	|
132.9807	132.9807	K
133.2245	133.2245	|
133.6773	133.6773	K
133.6831	133.6831	|
134.1417	134.1417	|
134.6061	134.6061	|
134.8325	134.8325	K
135.0705	135.0705	|
135.5059	135.5059	K
135.5349	135.5349	|
135.9935	135.9935	|
136.4579	136.4579	|
136.6436	136.6436	K
136.7771	136.7771	K
136.9165	136.9165	|
137.3286	137.3286	K
137.3809	137.3809	|
137.8395	137.8395	|
138.2980	138.2980	|
138.4722	138.4722	K
138.7624	138.7624	|
139.1688	139.1688	K
139.2268	139.2268	|
139.7029	139.7029	|
140.1556	140.1556	|
140.6084	140.6084	|
141.0322	141.0322	K
141.0670	141.0670	|
141.5314	141.5314	|
141.9958	141.9958	|
142.4544	142.4544	|
142.9188	142.9188	|
143.3774	143.3774	|
143.8418	143.8418	|
144.3062	144.3062	|
144.7648	144.7648	|
145.2292	145.2292	|
145.6878	145.6878	|
146.1522	146.1522	|
146.6108	146.6108	|
147.0752	147.0752	|
147.5338	147.5338	|
147.9982	147.9982	|
148.4568	148.4568	|
148.9212	148.9212	|
149.3798	149.3798	|
149.8442	149.8442	|
150.3028	150.3028	|
150.7672	150.7672	|
151.2258	151.2258	|
151.6902	151.6902	|
152.1488	152.1488	|
152.6132	152.6132	|
153.0717	153.0717	|
153.5361	153.5361	|
154.0005	154.0005	|
154.4649	154.4649	|
154.9235	154.9235	|
155.3821	155.3821	|
155.8117	155.8117	K
155.8407	155.8407	|
156.2993	156.2993	|
156.7695	156.7695	|
156.9669	156.9669	K
157.2223	157.2223	|
157.6345	157.6345	K
157.6867	157.6867	|
158.1453	158.1453	|
158.6155	158.6155	|
158.8013	158.8013	K
159.0683	159.0683	|
159.4921	159.4921	K
159.5327	159.5327	|
159.9913	159.9913	|
160.4615	160.4615	|
160.6473	160.6473	K
160.9143	160.9143	|
161.3439	161.3439	K
161.3787	161.3787	|
161.8373	161.8373	|
162.3075	162.3075	|
162.5165	162.5165	K
162.5861	162.5861	K
162.7603	162.7603	|
163.2189	163.2189	K
163.2189	163.2189	|
163.6833	163.6833	|
164.1535	164.1535	|
164.3276	164.3276	K
164.6063	164.6063	|
165.0707	165.0707	|
165.5293	165.5293	|
165.9995	165.9995	|
166.1910	166.1910	K
166.4522	166.4522	|
166.8876	166.8876	K
166.9166	166.9166	|
167.3752	167.3752	|
167.8454	167.8454	|
168.0254	168.0254	K
168.2982	168.2982	|
168.7568	168.7568	K
168.7626	168.7626	|
169.2212	169.2212	|
169.6914	169.6914	|
169.8714	169.8714	K
170.1442	170.1442	|
170.5622	170.5622	K
170.6086	170.6086	|
171.0672	171.0672	|
171.5374	171.5374	|
171.7290	171.7290	K
171.8219	171.8219	K
171.9902	171.9902	|
172.3966	172.3966	K
172.4546	172.4546	|
172.9132	172.9132	|
173.3834	173.3834	|
173.5808	173.5808	K
173.8362	173.8362	|
174.2658	174.2658	K
174.3006	174.3006	|
174.7592	174.7592	|
175.2294	175.2294	|
175.4151	175.4151	K
175.5080	175.5080	K
175.6822	175.6822	|
176.1001	176.1001	K
176.1408	176.1408	|
176.6110	176.6110	|
177.0754	177.0754	|
177.2785	177.2785	K
177.5282	177.5282	|
177.9577	177.9577	K
177.9926	177.9926	|
178.4512	178.4512	|
178.9214	178.9214	|
179.1129	179.1129	K
179.3800	179.3800	|
179.8037	179.8037	K
179.8385	179.8385	|
180.2971	180.2971	|
180.7673	180.7673	|
180.9647	180.9647	K
181.2259	181.2259	|
181.6497	181.6497	K
181.6845	181.6845	|
182.1431	182.1431	|
182.6133	182.6133	|
182.8165	182.8165	K
183.0719	183.0719	|
183.4841	183.4841	K
183.5305	183.5305	|
183.9949	183.9949	|
184.4593	184.4593	|
184.9179	184.9179	|
185.3243	185.3243	K
185.3765	185.3765	|
185.8409	185.8409	|
186.3053	186.3053	|
186.5027	186.5027	K
186.7639	186.7639	|
187.1877	187.1877	K
187.2225	187.2225	|
187.6869	187.6869	|
188.1513	188.1513	|
188.3719	188.3719	K
188.6099	188.6099	|
189.0104	189.0104	K
189.0685	189.0685	|
189.5329	189.5329	|
189.9973	189.9973	|
190.2121	190.2121	K
190.4559	190.4559	|
190.8796	190.8796	K
190.9145	190.9145	|
191.3789	191.3789	|
191.8433	191.8433	|
192.0464	192.0464	K
192.3019	192.3019	|
192.7605	192.7605	|
