gameT,hitTime,drift,musicT,lane,laneLabel,type
142.656,137.0726,5.5834,142.912,2,D,TAP
142.656,136.5211,6.1349,142.912,0,A,TAP
142.656,136.3876,6.2684,142.912,0,A,TAP
142.656,135.2499,7.4061,142.912,1,S,TAP
142.656,134.5765,8.0795,142.912,0,A,TAP
142.656,133.4213,9.2347,142.912,0,A,TAP
155.5733,155.5557,0.0176,155.8293,0,A,TAP
156.7147,156.7109,0.0038,156.9706,0,A,TAP
157.3813,157.3785,0.0028,157.6373,0,A,TAP
158.5493,158.5453,0.004,158.8053,0,A,TAP
159.2533,159.2361,0.0172,159.5093,1,S,TAP
160.4267,160.3913,0.0354,160.6826,0,A,TAP
161.088,161.0879,0.0001,161.344,0,A,TAP
162.2613,162.2605,0.0008,162.5173,2,D,TAP
162.3467,162.3301,0.0166,162.6026,0,A,TAP
162.9653,162.9629,0.0024,163.2213,1,S,TAP
164.0853,164.0716,0.0137,164.3413,0,A,TAP
165.968,165.935,0.033,166.224,0,A,TAP
166.6453,166.6316,0.0137,166.9013,0,A,TAP
167.808,167.7694,0.0386,168.064,1,S,TAP
168.5227,168.5008,0.0219,168.7786,0,A,TAP
169.648,169.6154,0.0326,169.904,0,A,TAP
170.352,170.3062,0.0458,170.608,2,D,TAP
171.4773,171.473,0.0043,171.7333,0,A,TAP
171.6,171.5659,0.0341,171.856,1,S,TAP
172.1813,172.1406,0.0407,172.4373,0,A,TAP
173.344,173.3248,0.0192,173.6,0,A,TAP
174.016,174.0098,0.0062,174.272,0,A,TAP
175.184,175.1591,0.0249,175.44,1,S,TAP
175.2693,175.252,0.0173,175.5253,0,A,TAP
175.8507,175.8441,0.0066,176.1066,0,A,TAP
177.0507,177.0225,0.0282,177.3066,2,D,TAP
177.7173,177.7017,0.0156,177.9733,0,A,TAP
178.8907,178.8569,0.0338,179.1466,1,S,TAP
179.5573,179.5477,0.0096,179.8133,0,A,TAP
180.72,180.7087,0.0113,180.976,0,A,TAP
181.4347,181.3937,0.041,181.6906,0,A,TAP
182.5973,182.5605,0.0368,182.8533,0,A,TAP
183.2587,183.2281,0.0306,183.5146,1,S,TAP
185.0933,185.0683,0.025,185.3493,0,A,TAP
186.2613,186.2467,0.0146,186.5173,0,A,TAP
186.9653,186.9317,0.0336,187.2213,2,D,TAP
188.1333,188.1159,0.0174,188.3893,0,A,TAP
188.7947,188.7544,0.0403,189.0506,1,S,TAP
189.9627,189.9561,0.0066,190.2186,0,A,TAP
190.624,190.6236,0.0004,190.88,0,A,TAP
191.8027,191.7904,0.0123,192.0586,1,S,TAP
193.664,193.6306,0.0334,193.92,0,A,TAP
194.3733,194.3388,0.0345,194.6293,0,A,TAP
195.4933,195.4708,0.0225,195.7493,2,D,TAP
196.1653,196.1616,0.0037,196.4213,0,A,TAP
197.36,197.3458,0.0142,197.616,0,A,TAP
198.0267,198.0192,0.0075,198.2826,0,A,TAP
